productname	price	quantity	CustomerName
Fløtemysost 	21.5 	30 	Vaffeljernet 
Mozzarella di Giovanni 	34.8 	7 	Vins et alcools Chevalier 
Mozzarella di Giovanni 	34.8 	25 	LILA-Supermercado 
Mozzarella di Giovanni 	34.8 	40 	Königlich Essen 
Mozzarella di Giovanni 	34.8 	24 	Ernst Handel 
Mozzarella di Giovanni 	34.8 	42 	Queen Cozinha 
Mozzarella di Giovanni 	34.8 	10 	Consolidated Holdings 
Mozzarella di Giovanni 	34.8 	25 	Frankenversand 
Mozzarella di Giovanni 	34.8 	24 	Rattlesnake Canyon Grocery 
Mozzarella di Giovanni 	34.8 	20 	Blondel père et fils 
Mozzarella di Giovanni 	34.8 	3 	LILA-Supermercado 
Mozzarella di Giovanni 	34.8 	21 	Frankenversand 
Mozzarella di Giovanni 	34.8 	4 	GROSELLA-Restaurante 
Mozzarella di Giovanni 	34.8 	5 	Wilman Kala 
Mozzarella di Giovanni 	34.8 	20 	White Clover Markets 
Röd Kaviar 	15 	25 	Berglunds snabbköp 
Röd Kaviar 	15 	20 	Wellington Importadora 
Longlife Tofu 	10 	14 	LILA-Supermercado 
Longlife Tofu 	10 	21 	Chop-suey Chinese 
Longlife Tofu 	10 	20 	Chop-suey Chinese 
Longlife Tofu 	10 	36 	Ernst Handel 
Longlife Tofu 	10 	50 	Ernst Handel 
Longlife Tofu 	10 	15 	QUICK-Stop 
Longlife Tofu 	10 	30 	Mère Paillarde 
Rhönbräu Klosterbier 	7.75 	6 	Rattlesnake Canyon Grocery 
Rhönbräu Klosterbier 	7.75 	6 	Tortuga Restaurante 
Rhönbräu Klosterbier 	7.75 	30 	Berglunds snabbköp 
Rhönbräu Klosterbier 	7.75 	6 	Familia Arquibaldo 
Rhönbräu Klosterbier 	7.75 	50 	Bólido Comidas preparadas 
Rhönbräu Klosterbier 	7.75 	24 	Blondel père et fils 
Rhönbräu Klosterbier 	7.75 	12 	Drachenblut Delikatessend 
Rhönbräu Klosterbier 	7.75 	10 	Die Wandernde Kuh 
Lakkalikööri 	18 	12 	Drachenblut Delikatessend 
Lakkalikööri 	18 	18 	Folk och fä HB 
Lakkalikööri 	18 	15 	Frankenversand 
Lakkalikööri 	18 	15 	Lehmanns Marktstand 
Lakkalikööri 	18 	35 	Vaffeljernet 
Lakkalikööri 	18 	20 	La maison d'Asie 
Lakkalikööri 	18 	33 	QUICK-Stop 
Lakkalikööri 	18 	6 	Island Trading 
Lakkalikööri 	18 	30 	Tortuga Restaurante 
Lakkalikööri 	18 	14 	La maison d'Asie 
Original Frankfurter grüne Soße 	13 	10 	Que Delícia 
Original Frankfurter grüne Soße 	13 	7 	Vaffeljernet 
Original Frankfurter grüne Soße 	13 	5 	Galería del gastrónomo 
Original Frankfurter grüne Soße 	13 	10 	Comércio Mineiro 
Original Frankfurter grüne Soße 	13 	14 	Vaffeljernet 
Original Frankfurter grüne Soße 	13 	12 	Wellington Importadora 
Original Frankfurter grüne Soße 	13 	15 	HILARIÓN-Abastos 
Original Frankfurter grüne Soße 	13 	35 	Simons bistro 
